City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Priyutnoye,RU,46.1011,43.5072,46.74,93,98,7.81,light rain
325,Kabare,CD,-2.4683,28.8242,59.11,95,100,0.65,overcast clouds
326,Port Lincoln,AU,-34.7333,135.8667,67.08,48,18,11.21,few clouds
327,Zwedru,LR,6.0667,-8.1281,73.6,97,90,1.97,overcast clouds
328,Krasnoye,UA,49.9145,24.6134,32.0,100,75,6.71,broken clouds
329,Andenes,NO,69.3143,16.1194,39.2,81,90,27.63,overcast clouds
330,Iqaluit,CA,63.7506,-68.5145,-2.2,71,1,13.8,clear sky
331,Geraldton,AU,-28.7667,114.6,69.8,43,0,21.85,clear sky
332,Langenburg,DE,49.2544,9.8458,28.4,86,19,1.14,few clouds
333,Brae,GB,60.3964,-1.353,42.8,93,20,3.96,few clouds
334,The Valley,AI,18.217,-63.0578,79.0,83,40,5.75,scattered clouds
335,Sandviken,SE,60.6167,16.7667,32.0,86,9,3.91,clear sky
336,Baykit,RU,61.67,96.37,24.71,82,98,6.38,overcast clouds
337,Pierre,US,44.3683,-100.351,44.01,60,1,9.22,clear sky
338,Borovskoy,KZ,53.8,64.15,42.26,75,10,6.49,clear sky
339,Leningradskiy,RU,69.3833,178.4167,14.07,87,93,5.61,overcast clouds
340,Berlevag,NO,70.8578,29.0864,30.58,77,95,17.83,light snow
341,Laiyang,CN,36.9758,120.7136,63.0,55,29,3.0,scattered clouds
342,Touros,BR,-5.1989,-35.4608,77.0,94,20,3.44,few clouds
343,Natal,BR,-5.795,-35.2094,78.8,89,20,4.61,few clouds
344,Ancud,CL,-41.8697,-73.8203,48.0,100,90,2.3,fog
345,Half Moon Bay,US,37.4636,-122.4286,59.0,76,1,5.75,haze
